Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"David Peterson","NYM",10.049,8.5338,12.8055,3.67222,35.92,25.92,0,0.6571,153.875,659.085,145.3,69.0872,62.7846,16.4646,58.8881,,7.3258,142.207,8.31755,3.44431,2.41486,0.963,0.215764,0.0893483,0.12641555070877075,0.245078,1.32697,0.296718,0.745846,0.499751,,4.00007,1.67812,2.25082,368.4700012207031,,,,"20302"
"Lance Lynn",,8.8303,9.9374,11.5913,4.37745,27.54,27.54,0,0,152.841,653.726,149.485,79.5548,74.3394,23.5205,48.7248,,6.6033,142.491,8.39056,2.86914,2.92441,1.385,0.217968,0.074534,0.14343395084142685,0.249809,1.29684,0.291324,0.717899,0.38,,4.38846,1.67352,1.48441,595.7999877929688,,,,"2520"
"Jake Irvin","WSN",9.6079,11.8239,14.306,4.33392,30.78,30.78,0,0,178.225,759.698,178.107,92.3811,85.8238,25.4664,57.421,,7.837,148.915,7.51991,2.89964,2.59339,1.286,0.196019,0.075584,0.12043508142232895,0.256476,1.32152,0.293507,0.716182,0.423,,4.45141,1.66111,1.98528,427,,,,"21504"
"Ronel Blanco","HOU",9.8533,10.424,13.5325,4.35144,29.16,29.16,0,0,169.064,728.095,158.804,87.7254,81.7411,24.4767,70.2968,,5.4847,167.142,8.89772,3.74221,2.37766,1.303,0.229561,0.0965489,0.13301204144954681,0.243448,1.35512,0.291576,0.725622,0.394247,,4.41605,1.65375,1.49447,234.92999267578125,,,,"19407"
"Andrew Abbott","CIN",8.5896,10.4012,11.2985,4.66299,27.54,27.54,0,0,156.361,676.302,154.259,86.099,81.0122,27.8496,56.8229,,5.1818,151.904,8.74347,3.27068,2.67329,1.603,0.22461,0.08402,0.14059001207351685,0.251114,1.34996,0.290901,0.726254,0.344313,,4.72858,1.65059,1.59846,469.7300109863281,,,,"29911"
"Charlie Morton",,9.2043,9.6018,12.5029,4.12868,27.54,27.54,0,0,153.814,663.278,143.864,76.2383,70.561,19.2609,60.9194,,11.1961,154.324,9.02981,3.56453,2.53324,1.127,0.232668,0.091846,0.1408219411969185,0.243358,1.33137,0.298395,0.722902,0.437,,4.19429,1.63712,1.95377,519.5999755859375,,,,"4676"
"Gavin Williams","CLE",8.4904,9.1109,11.5216,4.11216,25.92,25.92,0,0,142.965,610.701,132.486,70.3061,65.3217,19.0779,53.3679,,6.3507,145.068,9.13241,3.35964,2.71827,1.201,0.237544,0.0873879,0.15015596896409988,0.240454,1.29999,0.293168,0.726054,0.399879,,4.12498,1.61647,1.59787,236.60000610351562,,,,"30122"
"DJ Herz","WSN",9.3373,10.2055,10.891,4.01427,47.92,25.92,0,0.5989,161.121,693.603,136.679,77.2442,71.8649,21.447,78.2775,,7.6282,174.207,9.73094,4.37246,2.2255,1.198,0.251162,0.112856,0.1383058950304985,0.224912,1.33413,0.279659,0.74467,0.365634,,4.33401,1.61221,2.19845,311,,,,"26389"
"Casey Mize","DET",8.1736,9.5418,11.7211,4.1351,25.92,25.92,0,0,144.593,617.655,147.195,72.1226,66.4341,18.0099,40.6874,,6.3501,117.555,7.31703,2.53253,2.88921,1.121,0.190324,0.065874,0.12445005029439926,0.257957,1.29939,0.296941,0.71163,0.455412,,4.13562,1.61168,1.53845,454.3999938964844,,,,"20492"
"Andrew Heaney",,9.3797,10.077,11.5416,4.25477,29.16,29.16,0,0,154.914,658.368,148.885,78.3217,73.2359,23.1338,48.1333,,8.778,147.079,8.54484,2.79639,3.05567,1.344,0.2234,0.07311,0.15028980374336243,0.247542,1.2718,0.291602,0.720987,0.37,,4.31108,1.60476,1.81284,444.7300109863281,,,,"15423"
