Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nick Krauth","TEX",0.0428,0.0759,0.0438,5.73381,0.2818,0.1528,0,0,1,4.561,1.1643,0.6783,0.63709,0.178111,0.416,,0.0719,0.5508,4.9572,3.744,1.32404,1.603,0.120763,0.0912081,0.029554925858974457,0.285851,1.5803,0.294896,0.677714,0.415174,,5.84402,-0.0000999029,-0.000679999,999,,,,"sa3015006"
"Luke Taggart","COL",0.0365,0.0816,0.0356,6.16455,0.3131,0.1461,0,0,1,4.594,1.2038,0.7261,0.68495,0.184111,0.4645,,0.046,0.623,5.607,4.1805,1.34123,1.657,0.135612,0.10111,0.034501537680625916,0.294796,1.6683,0.311223,0.667969,0.419125,,5.84542,-0.0000999029,-0.000679999,999,,,,"sa3017932"
"Jefrem Leon",,0.0413,0.0792,0.0469,5.823,0.2274,0.1644,0,0,1,4.601,1.1483,0.6888,0.647,0.168,0.5118,,0.0478,0.5892,5.3028,4.6062,1.15123,1.512,0.128059,0.111237,0.016822442412376404,0.284134,1.6601,0.29849,0.681662,0.416998,,5.85088,-0.0000999029,-0.000679999,999,,,,"sa3016019"
"Nestor Lorant","CIN",0.0417,0.0731,0.0338,5.76882,0.4212,0.1232,0,0,1,4.561,1.1108,0.6806,0.64098,0.191556,0.4968,,0.0467,0.7177,6.4593,4.4712,1.44465,1.724,0.157356,0.108923,0.048432357609272,0.27649,1.6076,0.295744,0.692089,0.403031,,5.8518,-0.0000999029,-0.000679999,999,,,,"sa3011640"
"Noah Dean","BOS",0.0426,0.0765,0.0449,5.72301,0.2711,0.1551,0,0,1,4.726,1.0388,0.6788,0.63589,0.137333,0.756,,0.068,0.7837,7.0533,6.804,1.03664,1.236,0.165827,0.159966,0.005861207842826843,0.266222,1.7948,0.302408,0.696397,0.433819,,5.85641,-0.0000999029,-0.000679999,999,,,,"sa3020740"
"Liam Sullivan","WSN",0.0415,0.0804,0.0554,5.55678,0.1754,0.1754,0,0,1,4.61,1.0745,0.6585,0.61742,0.157222,0.6049,,0.0458,0.6521,5.8689,5.4441,1.07803,1.415,0.141453,0.131215,0.010238617658615112,0.271386,1.6794,0.291201,0.699587,0.403606,,5.85827,-0.0000999029,-0.000679999,999,,,,"sa3022952"
"Danny Kirwin","BOS",0.04,0.073,0.0281,5.9949,0.4846,0.1096,0,0,1,4.636,1.167,0.709,0.6661,0.158111,0.5546,,0.0451,0.5812,5.2308,4.9914,1.04796,1.423,0.125367,0.119629,0.005737699568271637,0.289126,1.7216,0.306003,0.674957,0.436842,,5.85862,-0.0000999029,-0.000679999,999,,,,"sa3023553"
"Trennor O'Donnell","BOS",0.0398,0.0745,0.0304,6.02604,0.4376,0.1196,0,0,1,4.626,1.1675,0.7114,0.66956,0.163889,0.5337,,0.0492,0.5932,5.3388,4.8033,1.11149,1.475,0.128232,0.11537,0.012862101197242737,0.288764,1.7012,0.305419,0.67253,0.422755,,5.85934,-0.0000999029,-0.000679999,999,,,,"sa3023531"
"Connor Oliver","PIT",0.0403,0.0757,0.0378,5.73957,0.3816,0.1316,0,0,1,4.667,1.1436,0.6808,0.63773,0.146,0.5907,,0.05,0.5636,5.0724,5.3163,0.954122,1.314,0.120763,0.12657,-0.005806714296340942,0.284032,1.7343,0.300781,0.688607,0.425188,,5.85938,-0.0000999029,-0.000679999,999,,,,"sa3023200"
"Alberto Pacheco","COL",0.0374,0.0842,0.045,6.03396,0.1919,0.1719,0,0,1,4.622,1.2154,0.7141,0.67044,0.168222,0.4873,,0.0511,0.5536,4.9824,4.3857,1.13606,1.514,0.119775,0.105431,0.014344446361064911,0.29763,1.7027,0.311495,0.673806,0.448749,,5.86137,-0.0000999029,-0.000679999,999,,,,"sa3015421"
"Adrian Florencio","PIT",0.0391,0.0811,0.0445,5.9121,0.2365,0.1625,0,0,1,4.617,1.1574,0.6978,0.6569,0.166556,0.5114,,0.0522,0.5781,5.2029,4.6026,1.13043,1.499,0.125211,0.110765,0.014446616172790527,0.285538,1.6688,0.299462,0.676362,0.401117,,5.8663,-0.0000999029,-0.000679999,999,,,,"sa3010569"
"Davis Polo","ATL",0.0457,0.0748,0.0469,5.85567,0.215,0.167,0,0,1,4.581,1.1739,0.6924,0.65063,0.174556,0.4687,,0.0431,0.5518,4.9662,4.2183,1.1773,1.571,0.120454,0.102314,0.018140152096748352,0.288484,1.6426,0.29895,0.679577,0.415963,,5.8675,-0.0000999029,-0.000679999,999,,,,"sa3019637"
"Blaze Pontes","ATH",0.0402,0.0759,0.0397,5.6196,0.375,0.133,0,0,1,4.587,1.1678,0.6696,0.6244,0.146444,0.5012,,0.0485,0.4249,3.8241,4.5108,0.847765,1.318,0.0926313,0.109265,-0.01663397252559662,0.289253,1.669,0.294682,0.682661,0.459113,,5.86956,-0.0000999029,-0.000679999,999,,,,"sa3020486"
"Yunior Tur","ATH",0.0406,0.0753,0.039,5.61582,0.3849,0.1309,0,0,1,4.583,1.0957,0.6647,0.62398,0.158444,0.5481,,0.0513,0.5772,5.1948,4.9329,1.05309,1.426,0.125944,0.119594,0.006349556148052216,0.275053,1.6438,0.288568,0.688548,0.397823,,5.87006,-0.0000999029,-0.000679999,999,,,,"sa3021045"
"Anderson Brito","HOU",0.0426,0.0763,0.0428,5.85216,0.2785,0.1535,0,0,1,4.613,1.0915,0.6904,0.65024,0.171444,0.579,,0.0505,0.706,6.354,5.211,1.21934,1.543,0.153046,0.125515,0.027530893683433533,0.274005,1.6705,0.296214,0.685156,0.395867,,5.87176,-0.0000999029,-0.000679999,999,,,,"sa3024232"
"Jason Savacool","STL",0.0422,0.0783,0.0496,5.68665,0.2216,0.1656,0,0,1,4.638,1.148,0.6776,0.63185,0.144444,0.5759,,0.046,0.5181,4.6629,5.1831,0.899635,1.3,0.111708,0.12417,-0.01246226578950882,0.285849,1.7239,0.299251,0.687596,0.468296,,5.87376,-0.0000999029,-0.000679999,999,,,,"sa3022856"
"Trevor Harrison","TBR",0.0399,0.0818,0.0496,5.81895,0.1853,0.1733,0,0,1,4.605,1.1092,0.6869,0.64655,0.169667,0.5562,,0.044,0.6481,5.8329,5.0058,1.16523,1.527,0.140738,0.120782,0.019956573843955994,0.276968,1.6654,0.294799,0.685288,0.39656,,5.87655,-0.0000999029,-0.000679999,999,,,,"sa3023629"
"Josh Knoth","MIL",0.0411,0.0809,0.0503,5.81958,0.1754,0.1754,0,0,1,4.623,1.1218,0.6886,0.64662,0.168889,0.5599,,0.0467,0.6525,5.8725,5.0391,1.16539,1.52,0.141142,0.121112,0.020030274987220764,0.279305,1.6817,0.29825,0.687145,0.421528,,5.87684,-0.0000999029,-0.000679999,999,,,,"sa3023420"
"Victor Juarez","COL",0.0362,0.0858,0.0427,6.1857,0.1829,0.1739,0,0,1,4.567,1.2152,0.7277,0.6873,0.193111,0.4142,,0.0522,0.5994,5.3946,3.7278,1.44713,1.738,0.131246,0.0906941,0.04055178165435791,0.296347,1.6294,0.308967,0.663481,0.408528,,5.87732,-0.0000999029,-0.000679999,999,,,,"sa3016226"
"Edgar Portes","BAL",0.0449,0.0731,0.0438,5.63733,0.3041,0.1481,0,0,1,4.571,1.0669,0.6652,0.62637,0.179667,0.5513,,0.0442,0.7047,6.3423,4.9617,1.27825,1.617,0.154168,0.120608,0.033559396862983704,0.268369,1.6182,0.287025,0.697317,0.375757,,5.87925,-0.0000999029,-0.000679999,999,,,,"sa3015386"
"Casey Anderson","ARI",0.042,0.0799,0.0457,6.05862,0.1754,0.1754,0,0,1,4.673,1.1731,0.7165,0.67318,0.153111,0.5589,,0.0638,0.5706,5.1354,5.0301,1.02093,1.378,0.122106,0.119602,0.0025037378072738647,0.289633,1.732,0.306617,0.669129,0.433464,,5.88382,-0.0000999029,-0.000679999,999,,,,"sa3022742"
"Bryan Perez","COL",0.0359,0.0863,0.0436,6.16671,0.1754,0.1754,0,0,1,4.669,1.2157,0.7312,0.68519,0.156889,0.5343,,0.0673,0.5634,5.0706,4.8087,1.05446,1.412,0.120668,0.114436,0.0062325820326805115,0.298889,1.75,0.316336,0.665728,0.486847,,5.88404,-0.0000999029,-0.000679999,999,,,,"sa3016515"
"Duque Hebbert","DET",0.0389,0.0754,0.0342,5.73948,0.4393,0.1193,0,0,1,4.593,1.139,0.6783,0.63772,0.168,0.4886,,0.0502,0.54,4.86,4.3974,1.1052,1.512,0.11757,0.106379,0.011190950870513916,0.280943,1.6276,0.29018,0.681772,0.39121,,5.88688,-0.0000999029,-0.000679999,999,,,,"sa3021026"
"Justin Lange","NYY",0.0452,0.0766,0.0535,5.65137,0.1754,0.1754,0,0,1,4.625,1.0496,0.6679,0.62793,0.174444,0.6041,,0.0567,0.7647,6.8823,5.4369,1.26585,1.57,0.165341,0.130616,0.03472432494163513,0.26477,1.6537,0.289302,0.699408,0.394457,,5.88726,-0.0000999029,-0.000679999,999,,,,"sa3014517"
"Jagger Haynes","SDP",0.0464,0.075,0.0558,5.50269,0.1829,0.1739,0,0,1,4.595,1.0517,0.6518,0.61141,0.163556,0.6092,,0.0476,0.6876,6.1884,5.4828,1.12869,1.472,0.149641,0.132579,0.017062023282051086,0.267051,1.6609,0.287701,0.704717,0.395702,,5.8879,-0.0000999029,-0.000679999,999,,,,"sa3020876"
"McCade Brown","COL",0.0356,0.0858,0.0404,6.23961,0.2043,0.1693,0,0,1,4.614,1.1997,0.7345,0.69329,0.183889,0.4845,,0.052,0.6353,5.7177,4.3605,1.31125,1.655,0.13769,0.105007,0.03268313407897949,0.294224,1.6842,0.31176,0.665636,0.418548,,5.89594,-0.0000999029,-0.000679999,999,,,,"sa3017812"
"Shane Panzini","KCR",0.0403,0.0767,0.0362,5.96016,0.3445,0.1395,0,0,1,4.649,1.1344,0.7032,0.66224,0.16,0.5762,,0.05,0.6124,5.5116,5.1858,1.06283,1.44,0.131727,0.123941,0.007786616683006287,0.281993,1.7106,0.299778,0.677654,0.397298,,5.90028,-0.0000999029,-0.000679999,999,,,,"sa3018257"
"Alex McFarlane","PHI",0.0447,0.077,0.0528,5.68863,0.1754,0.1754,0,0,1,4.621,1.0958,0.676,0.63207,0.155889,0.6039,,0.052,0.63,5.67,5.4351,1.04322,1.403,0.136334,0.130686,0.005648136138916016,0.276361,1.6997,0.295643,0.69101,0.451692,,5.90074,-0.0000999029,-0.000679999,999,,,,"sa3020633"
"Aneury Lora","SEA",0.0399,0.0778,0.0441,5.62491,0.3206,0.1446,0,0,1,4.606,1.1207,0.668,0.62499,0.162556,0.5376,,0.0485,0.5685,5.1165,4.8384,1.05748,1.463,0.123426,0.116717,0.0067086368799209595,0.278788,1.6583,0.291332,0.692168,0.429984,,5.901,-0.0000999029,-0.000679999,999,,,,"sa3019365"
"Jose Franco","CIN",0.0428,0.0791,0.051,5.78511,0.1754,0.1754,0,0,1,4.533,1.1056,0.6813,0.64279,0.202889,0.4712,,0.0411,0.7192,6.4728,4.2408,1.52632,1.826,0.158659,0.103949,0.05470991134643555,0.274977,1.5768,0.291328,0.692706,0.385111,,5.90254,-0.0000999029,-0.000679999,999,,,,"sa3008714"
"Lorenzo Encarnacion","ARI",0.0418,0.0801,0.0453,6.07833,0.1754,0.1754,0,0,1,4.649,1.1888,0.7181,0.67537,0.160333,0.5183,,0.0589,0.5395,4.8555,4.6647,1.0409,1.443,0.116046,0.111486,0.004560120403766632,0.291959,1.7071,0.305005,0.667056,0.422871,,5.90341,-0.0000999029,-0.000679999,999,,,,"sa3015498"
"Drew McDaniel","CHW",0.0366,0.0856,0.0511,5.78034,0.1754,0.1754,0,0,1,4.543,1.157,0.6822,0.64226,0.188444,0.4377,,0.0479,0.5842,5.2578,3.9393,1.3347,1.696,0.128593,0.096346,0.03224742412567139,0.285158,1.5947,0.294864,0.685638,0.399885,,5.90466,-0.0000999029,-0.000679999,999,,,,"sa3020384"
"Eliazar Dishmey","MIA",0.0361,0.0858,0.0475,5.92614,0.1862,0.1732,0,0,1,4.623,1.1437,0.6998,0.65846,0.168444,0.5374,,0.0478,0.6034,5.4306,4.8366,1.12281,1.516,0.130521,0.116245,0.01427643746137619,0.283248,1.6811,0.298613,0.67897,0.406532,,5.90506,-0.0000999029,-0.000679999,999,,,,"sa3019181"
"Alexander Cornielle","MIL",0.042,0.0794,0.0502,5.76036,0.1919,0.1719,0,0,1,4.55,1.1021,0.6776,0.64004,0.193111,0.4699,,0.0572,0.674,6.066,4.2291,1.43435,1.738,0.148132,0.103275,0.04485713690519333,0.273957,1.572,0.288039,0.687131,0.36266,,5.91022,-0.0000999029,-0.000679999,999,,,,"sa3011779"
"Hancel Rincon","STL",0.0431,0.0787,0.053,5.67792,0.1754,0.1754,0,0,1,4.505,1.1546,0.6699,0.63088,0.187333,0.3907,,0.0478,0.5033,4.5297,3.5163,1.2882,1.686,0.11172,0.0867259,0.024994447827339172,0.28393,1.5453,0.286524,0.682289,0.375599,,5.91071,-0.0000999029,-0.000679999,999,,,,"sa3009629"
"Jose Dicochea","ATH",0.0405,0.0789,0.0466,5.65137,0.267,0.156,0,0,1,4.619,1.0714,0.6691,0.62793,0.154333,0.6044,,0.0582,0.6237,5.6133,5.4396,1.03193,1.389,0.135029,0.130851,0.00417838990688324,0.270802,1.6758,0.288534,0.689647,0.399837,,5.91321,-0.0000999029,-0.000679999,999,,,,"sa3011497"
"Conor Grady",,0.0405,0.0789,0.0434,5.87619,0.2637,0.1567,0,0,1,4.629,1.1644,0.6964,0.65291,0.161889,0.5326,,0.0482,0.5482,4.9338,4.7934,1.02929,1.457,0.118427,0.115057,0.0033700689673423767,0.287634,1.697,0.300323,0.680516,0.438012,,5.91704,-0.0000999029,-0.000679999,999,,,,"sa3017534"
"Jervis Alfaro","CLE",0.0389,0.0813,0.0438,5.94189,0.2398,0.1618,0,0,1,4.617,1.1694,0.7022,0.66021,0.174333,0.492,,0.0524,0.5742,5.1678,4.428,1.16707,1.569,0.124366,0.106563,0.01780375838279724,0.287138,1.6614,0.299352,0.676764,0.416945,,5.91761,-0.0000999029,-0.000679999,999,,,,"sa3022113"
"Eccel Correa","BAL",0.0436,0.0757,0.0455,5.76423,0.262,0.157,0,0,1,4.629,1.165,0.686,0.64047,0.156444,0.538,,0.0521,0.5246,4.7214,4.842,0.975093,1.408,0.113329,0.116224,-0.002894781529903412,0.288445,1.703,0.300357,0.68532,0.469472,,5.92136,-0.0000999029,-0.000679999,999,,,,"sa3021019"
"Jose Montero","CIN",0.0411,0.0785,0.0439,5.85648,0.2587,0.1577,0,0,1,4.635,1.1763,0.6971,0.65072,0.164111,0.5401,,0.0457,0.5673,5.1057,4.8609,1.05036,1.477,0.122395,0.116526,0.005868405103683472,0.290502,1.7164,0.305079,0.685638,0.490098,,5.92272,-0.0000999029,-0.000679999,999,,,,"sa3018312"
"Ryan Birchard","MIL",0.0406,0.0806,0.0475,5.8779,0.201,0.17,0,0,1,4.629,1.0996,0.6929,0.6531,0.177444,0.5778,,0.046,0.7107,6.3963,5.2002,1.23001,1.597,0.153532,0.124822,0.02871030569076538,0.274543,1.6774,0.295842,0.688954,0.389858,,5.92326,-0.0000999029,-0.000679999,999,,,,"sa3023449"
"Hiro Wyatt","KCR",0.0397,0.0809,0.043,6.05583,0.2208,0.1658,0,0,1,4.663,1.1713,0.7155,0.67287,0.157,0.5604,,0.0514,0.559,5.031,5.0436,0.997502,1.413,0.11988,0.12018,-0.0003002285957336426,0.289124,1.7317,0.30412,0.672134,0.420239,,5.92488,-0.0000999029,-0.000679999,999,,,,"sa3023613"
"Juan Rojas","BAL",0.0442,0.0712,0.0382,5.6484,0.3939,0.1289,0,0,1,4.664,1.1076,0.6707,0.6276,0.152333,0.628,,0.0459,0.621,5.589,5.652,0.988853,1.371,0.133148,0.134648,-0.0015008598566055298,0.277587,1.7356,0.296965,0.699518,0.42841,,5.92651,-0.0000999029,-0.000679999,999,,,,"sa3016285"
"Kyle Scott","CLE",0.0391,0.0795,0.0402,5.93541,0.295,0.15,0,0,1,4.591,1.1508,0.6988,0.65949,0.186,0.4755,,0.0484,0.6123,5.5107,4.2795,1.2877,1.674,0.13337,0.103572,0.029797419905662537,0.282953,1.6263,0.295154,0.679039,0.38078,,5.93158,-0.0000999029,-0.000679999,999,,,,"sa3023049"
"Luis Valdez","TEX",0.0431,0.0719,0.0369,5.69178,0.4113,0.1253,0,0,1,4.652,1.1099,0.6737,0.63242,0.162444,0.5883,,0.0514,0.6323,5.6907,5.2947,1.07479,1.462,0.13592,0.126462,0.009458303451538086,0.276624,1.6982,0.294464,0.69657,0.402811,,5.93276,-0.0000999029,-0.000679999,999,,,,"sa3015974"
"Khristian Curtis","PIT",0.0383,0.0833,0.0458,5.98545,0.1952,0.1712,0,0,1,4.666,1.153,0.7078,0.66505,0.157444,0.5818,,0.0477,0.5829,5.2461,5.2362,1.00189,1.417,0.124925,0.124689,0.00023574382066726685,0.285644,1.7348,0.302035,0.678166,0.422185,,5.93596,-0.0000999029,-0.000679999,999,,,,"sa3023473"
"Erick Rodriguez","DET",0.038,0.084,0.05,5.83677,0.1754,0.1754,0,0,1,4.636,1.1493,0.6916,0.64853,0.159222,0.5369,,0.0483,0.5279,4.7511,4.8321,0.983237,1.433,0.11387,0.115811,-0.0019413307309150696,0.283722,1.6862,0.294344,0.679702,0.421296,,5.93617,-0.0000999029,-0.000679999,999,,,,"sa3015155"
"Starlyn Castillo",,0.041,0.0804,0.0483,5.841,0.1985,0.1705,0,0,1,4.649,1.1415,0.693,0.649,0.156667,0.561,,0.0644,0.5715,5.1435,5.049,1.01872,1.41,0.12293,0.120671,0.0022585466504096985,0.283701,1.7025,0.298848,0.680638,0.445,,5.93635,-0.0000999029,-0.000679999,999,,,,"sa3011608"
"Zach Mort",,0.0405,0.0725,0.0295,5.83659,0.4846,0.1096,0,0,1,4.551,1.1402,0.686,0.64851,0.195778,0.4415,,0.0491,0.6231,5.6079,3.9735,1.41132,1.762,0.136915,0.0970116,0.03990330547094345,0.28081,1.5817,0.291351,0.68499,0.362637,,5.93719,-0.0000999029,-0.000679999,999,,,,"sa3008172"
"Patrick Copen","LAD",0.0469,0.0743,0.0502,5.76216,0.1919,0.1719,0,0,1,4.621,1.1137,0.6832,0.64024,0.167222,0.5709,,0.0532,0.6367,5.7303,5.1381,1.11526,1.505,0.137784,0.123545,0.01423933357000351,0.278641,1.6846,0.296425,0.690388,0.438415,,5.93927,-0.0000999029,-0.000679999,999,,,,"sa3023283"
"Sean Linan","LAD",0.0455,0.068,0.0324,5.74821,0.4574,0.1154,0,0,1,4.606,1.1062,0.6798,0.63869,0.173889,0.5556,,0.0527,0.6563,5.9067,5.0004,1.18125,1.565,0.142488,0.120625,0.02186278998851776,0.276709,1.6618,0.294336,0.692351,0.415124,,5.93934,-0.0000999029,-0.000679999,999,,,,"sa3019270"
"Matt Gabbert","MIN",0.0395,0.075,0.032,5.96727,0.4327,0.1207,0,0,1,4.663,1.1313,0.704,0.66303,0.165333,0.5899,,0.045,0.6389,5.7501,5.3091,1.08306,1.488,0.137015,0.126507,0.010508254170417786,0.280852,1.7212,0.29963,0.682807,0.401565,,5.94271,-0.0000999029,-0.000679999,999,,,,"sa3022158"
"Erian Rodriguez","CHC",0.0416,0.0743,0.0367,5.77485,0.3799,0.1319,0,0,1,4.63,1.1219,0.6847,0.64165,0.159111,0.5708,,0.0558,0.5858,5.2722,5.1372,1.02628,1.432,0.126523,0.123283,0.003239735960960388,0.280237,1.6927,0.295471,0.68574,0.432129,,5.94312,-0.0000999029,-0.000679999,999,,,,"sa3019625"
"Brandon White","MIA",0.0359,0.0851,0.0448,5.96097,0.2175,0.1665,0,0,1,4.585,1.1809,0.7029,0.66233,0.179889,0.4516,,0.0495,0.5326,4.7934,4.0644,1.17936,1.619,0.116161,0.0984951,0.017666302621364594,0.28916,1.6325,0.296912,0.673303,0.395902,,5.94314,-0.0000999029,-0.000679999,999,,,,"sa3020589"
"Rainiery Rodriguez",,0.0408,0.0792,0.0449,5.87124,0.2439,0.1609,0,0,1,4.583,1.1747,0.6942,0.65236,0.175556,0.4671,,0.0448,0.5206,4.6854,4.2039,1.11454,1.58,0.113594,0.10192,0.01167357712984085,0.288546,1.6418,0.296048,0.678786,0.413992,,5.9432,-0.0000999029,-0.000679999,999,,,,"sa3007903"
"Tyler Schlaffer","CHC",0.0418,0.0784,0.0456,5.83722,0.2365,0.1625,0,0,1,4.605,1.1388,0.6906,0.64858,0.168778,0.526,,0.0521,0.5757,5.1813,4.734,1.09449,1.519,0.125016,0.114224,0.01079261302947998,0.282798,1.6648,0.29552,0.681969,0.417075,,5.94349,-0.0000999029,-0.000679999,999,,,,"sa3011815"
"Alonzo Tredwell","HOU",0.0423,0.0786,0.0471,5.86854,0.2092,0.1682,0,0,1,4.644,1.1198,0.696,0.65206,0.158,0.6062,,0.0456,0.6161,5.5449,5.4558,1.01633,1.422,0.132666,0.130534,0.0021317899227142334,0.280497,1.726,0.298872,0.684476,0.446093,,5.94368,-0.0000999029,-0.000679999,999,,,,"sa3023524"
"Melvin Hernandez","MIL",0.04,0.0774,0.0389,5.8896,0.3329,0.1419,0,0,1,4.634,1.1527,0.6972,0.6544,0.168778,0.54,,0.05,0.5914,5.3226,4.86,1.09519,1.519,0.127622,0.11653,0.011091932654380798,0.28504,1.6927,0.299627,0.683529,0.431496,,5.94779,-0.0000999029,-0.000679999,999,,,,"sa3021785"
"Wilton Castillo",,0.0403,0.0764,0.037,5.91732,0.356,0.137,0,0,1,4.605,1.1498,0.6976,0.65748,0.177444,0.5009,,0.0524,0.5925,5.3325,4.5081,1.18287,1.597,0.128664,0.108773,0.01989142596721649,0.283782,1.6507,0.296291,0.67968,0.392003,,5.94816,-0.0000999029,-0.000679999,999,,,,"sa3015310"
"Luis Rodriguez","HOU",0.0415,0.0729,0.0325,5.90679,0.4311,0.1211,0,0,1,4.634,1.1405,0.6995,0.65631,0.163222,0.565,,0.0519,0.5944,5.3496,5.085,1.05204,1.469,0.128269,0.121925,0.006344407796859741,0.283911,1.7055,0.299827,0.681115,0.436601,,5.95027,-0.0000999029,-0.000679999,999,,,,"sa3021816"
"Brayan Romero","WSN",0.0388,0.0824,0.0491,5.78493,0.2043,0.1693,0,0,1,4.599,1.1763,0.6879,0.64277,0.157556,0.5085,,0.0464,0.4643,4.1787,4.5765,0.913078,1.418,0.100957,0.110568,-0.009610779583454132,0.290868,1.6848,0.297683,0.680839,0.461013,,5.9508,-0.0000999029,-0.000679999,999,,,,"sa3018313"
"Henry Lalane","NYY",0.0445,0.074,0.0458,5.65371,0.2868,0.1518,0,0,1,4.643,1.1083,0.6696,0.62819,0.168,0.5717,,0.0524,0.6349,5.7141,5.1453,1.11055,1.512,0.136743,0.123132,0.01361188292503357,0.275772,1.68,0.292382,0.699336,0.405745,,5.95298,-0.0000999029,-0.000679999,999,,,,"sa3016066"
"Carlos Calderon","HOU",0.0415,0.0754,0.037,5.89014,0.3494,0.1384,0,0,1,4.649,1.1331,0.6985,0.65446,0.157667,0.5832,,0.0603,0.5938,5.3442,5.2488,1.01818,1.419,0.127726,0.125446,0.0022800713777542114,0.282886,1.7163,0.299761,0.680545,0.449109,,5.95905,-0.0000999029,-0.000679999,999,,,,"sa3009713"
"Erik Tolman","WSN",0.0404,0.0816,0.0535,5.65407,0.1754,0.1754,0,0,1,4.604,1.1266,0.6706,0.62823,0.160222,0.5491,,0.0467,0.5374,4.8366,4.9419,0.978692,1.442,0.116725,0.119266,-0.002541258931159973,0.281074,1.6757,0.291906,0.692509,0.417994,,5.96197,-0.0000999029,-0.000679999,999,,,,"sa3021719"
"Josh Timmerman","MIL",0.0408,0.0795,0.0457,5.8482,0.234,0.163,0,0,1,4.608,1.1121,0.6899,0.6498,0.179889,0.5385,,0.0524,0.6577,5.9193,4.8465,1.22136,1.619,0.14273,0.116862,0.02586805820465088,0.276842,1.6506,0.293193,0.686825,0.394221,,5.96234,-0.0000999029,-0.000679999,999,,,,"sa3023098"
"Josh Hansell","KCR",0.0399,0.0741,0.03,6.01011,0.45,0.117,0,0,1,4.703,1.1362,0.711,0.66779,0.147889,0.6471,,0.0472,0.6038,5.4342,5.8239,0.933086,1.331,0.128386,0.137593,-0.009206876158714294,0.283434,1.7833,0.303441,0.680283,0.426218,,5.96433,-0.0000999029,-0.000679999,999,,,,"sa3023158"
"Tyler Gough","SEA",0.0398,0.082,0.0526,5.67297,0.1829,0.1739,0,0,1,4.595,1.1036,0.6715,0.63033,0.173111,0.5348,,0.0475,0.5997,5.3973,4.8132,1.12135,1.558,0.130511,0.116387,0.014124050736427307,0.275027,1.6384,0.287198,0.6926,0.402041,,5.96442,-0.0000999029,-0.000679999,999,,,,"sa3020865"
"Cole Kirschsieper",,0.042,0.0774,0.0458,5.73399,0.2637,0.1567,0,0,1,4.626,1.1342,0.6788,0.63711,0.163556,0.5485,,0.0491,0.56,5.04,4.9365,1.02097,1.472,0.121055,0.118569,0.0024859532713890076,0.281551,1.6827,0.293704,0.690572,0.406003,,5.9655,-0.0000999029,-0.000679999,999,,,,"sa3020258"
"Julio  Marte","HOU",0.0418,0.0764,0.0401,5.90571,0.3024,0.1484,0,0,1,4.625,1.1232,0.6984,0.65619,0.168444,0.5678,,0.0499,0.6218,5.5962,5.1102,1.0951,1.516,0.134443,0.122768,0.011675670742988586,0.280288,1.691,0.296779,0.682116,0.420979,,5.96576,-0.0000999029,-0.000679999,999,,,,"sa3021740"
"Yunior Marte","KCR",0.0394,0.0821,0.044,6.09246,0.1936,0.1716,0,0,1,4.643,1.1992,0.7198,0.67694,0.162222,0.5163,,0.0469,0.4991,4.4919,4.6467,0.966686,1.46,0.107495,0.1112,-0.0037045031785964966,0.293936,1.7155,0.303345,0.668978,0.421219,,5.96677,-0.0000999029,-0.000679999,999,,,,"sa3018367"
"Jackson Fristoe","NYY",0.0441,0.0777,0.0517,5.74767,0.1754,0.1754,0,0,1,4.625,1.0879,0.6797,0.63863,0.177222,0.5808,,0.0459,0.6915,6.2235,5.2272,1.1906,1.595,0.149514,0.125578,0.023935139179229736,0.272091,1.6687,0.290991,0.69619,0.405746,,5.96747,-0.0000999029,-0.000679999,999,,,,"sa3022104"
"Drew Dowd","TBR",0.0406,0.0805,0.0503,5.72697,0.201,0.17,0,0,1,4.625,1.1274,0.6785,0.63633,0.161222,0.5582,,0.0522,0.5627,5.0643,5.0238,1.00806,1.451,0.121665,0.120692,0.0009729638695716858,0.280825,1.6856,0.293611,0.689847,0.413544,,5.96817,-0.0000999029,-0.000679999,999,,,,"sa3023509"
"Jose Luis Reyes","SDP",0.0429,0.0769,0.0456,5.81283,0.2439,0.1609,0,0,1,4.555,1.1517,0.6865,0.64587,0.182222,0.4571,,0.0567,0.5505,4.9545,4.1139,1.20433,1.64,0.120856,0.100351,0.020504936575889587,0.28499,1.6088,0.293028,0.681323,0.405245,,5.97577,-0.0000999029,-0.000679999,999,,,,"sa3015304"
"Daiveyon Whittle",,0.0405,0.0797,0.0451,5.88582,0.2365,0.1625,0,0,1,4.613,1.1712,0.6973,0.65398,0.167556,0.5098,,0.0445,0.5157,4.6413,4.5882,1.01157,1.508,0.111793,0.110514,0.001278989017009735,0.288565,1.681,0.297337,0.680092,0.432001,,5.9762,-0.0000999029,-0.000679999,999,,,,"sa3007617"
